 CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
 104.46%             327.4MiB / 1.944GiB   16.45%              73.1MB / 98.2MB     0B / 0B             233
 103.32%             327.8MiB / 1.944GiB   16.47%              75.1MB / 101MB      0B / 0B             233
 103.32%             327.8MiB / 1.944GiB   16.47%              75.1MB / 101MB      0B / 0B             233
 103.13%             327.7MiB / 1.944GiB   16.47%              76.8MB / 103MB      0B / 0B             233
 103.13%             327.7MiB / 1.944GiB   16.47%              76.8MB / 103MB      0B / 0B             233
 103.27%             328.2MiB / 1.944GiB   16.49%              78.6MB / 105MB      0B / 0B             233
 103.27%             328.2MiB / 1.944GiB   16.49%              78.6MB / 105MB      0B / 0B             233
 103.29%             328.1MiB / 1.944GiB   16.48%              80.6MB / 108MB      0B / 0B             233
 103.29%             328.1MiB / 1.944GiB   16.48%              80.6MB / 108MB      0B / 0B             233
 103.23%             328.8MiB / 1.944GiB   16.52%              82.4MB / 110MB      0B / 0B             233
 103.23%             328.8MiB / 1.944GiB   16.52%              82.4MB / 110MB      0B / 0B             233
 103.69%             329.2MiB / 1.944GiB   16.54%              84.3MB / 113MB      0B / 0B             233
 103.69%             329.2MiB / 1.944GiB   16.54%              84.3MB / 113MB      0B / 0B             233
 105.73%             329.5MiB / 1.944GiB   16.55%              86MB / 115MB        0B / 0B             233
 105.73%             329.5MiB / 1.944GiB   16.55%              86MB / 115MB        0B / 0B             233
 102.44%             330MiB / 1.944GiB   16.58%              87.6MB / 117MB      0B / 0B             233
 102.44%             330MiB / 1.944GiB   16.58%              87.6MB / 117MB      0B / 0B             233
 102.10%             333.4MiB / 1.944GiB   16.75%              89.5MB / 120MB      0B / 0B             233
 102.10%             333.4MiB / 1.944GiB   16.75%              89.5MB / 120MB      0B / 0B             233
 102.63%             338.4MiB / 1.944GiB   17.00%              91.3MB / 122MB      0B / 0B             233
 102.63%             338.4MiB / 1.944GiB   17.00%              91.3MB / 122MB      0B / 0B             233
 102.07%             338.3MiB / 1.944GiB   17.00%              93.1MB / 125MB      0B / 0B             233
 102.07%             338.3MiB / 1.944GiB   17.00%              93.1MB / 125MB      0B / 0B             233
 103.88%             339MiB / 1.944GiB   17.03%              95MB / 127MB        0B / 0B             233
 103.88%             339MiB / 1.944GiB   17.03%              95MB / 127MB        0B / 0B             233
 102.89%             339.3MiB / 1.944GiB   17.05%              96.9MB / 130MB      0B / 0B             233
 102.89%             339.3MiB / 1.944GiB   17.05%              96.9MB / 130MB      0B / 0B             233
 101.93%             343MiB / 1.944GiB   17.23%              98.7MB / 132MB      0B / 0B             233
 101.93%             343MiB / 1.944GiB   17.23%              98.7MB / 132MB      0B / 0B             233
 103.29%             343.5MiB / 1.944GiB   17.26%              100MB / 134MB       0B / 0B             233
 103.29%             343.5MiB / 1.944GiB   17.26%              100MB / 134MB       0B / 0B             233
 104.61%             344.2MiB / 1.944GiB   17.29%              102MB / 137MB       0B / 0B             233
 104.61%             344.2MiB / 1.944GiB   17.29%              102MB / 137MB       0B / 0B             233
 104.22%             344.3MiB / 1.944GiB   17.30%              104MB / 139MB       0B / 0B             233
 104.22%             344.3MiB / 1.944GiB   17.30%              104MB / 139MB       0B / 0B             233
 104.41%             344.4MiB / 1.944GiB   17.31%              106MB / 142MB       0B / 0B             233
 104.41%             344.4MiB / 1.944GiB   17.31%              106MB / 142MB       0B / 0B             233
 104.42%             344.9MiB / 1.944GiB   17.33%              108MB / 144MB       0B / 0B             233
 104.42%             344.9MiB / 1.944GiB   17.33%              108MB / 144MB       0B / 0B             233
 103.90%             345MiB / 1.944GiB   17.33%              110MB / 147MB       0B / 0B             233
 103.90%             345MiB / 1.944GiB   17.33%              110MB / 147MB       0B / 0B             233
 107.32%             345.3MiB / 1.944GiB   17.35%              112MB / 149MB       0B / 0B             233
 107.32%             345.3MiB / 1.944GiB   17.35%              112MB / 149MB       0B / 0B             233
 104.60%             345.6MiB / 1.944GiB   17.37%              113MB / 152MB       0B / 0B             233
 104.60%             345.6MiB / 1.944GiB   17.37%              113MB / 152MB       0B / 0B             233
 105.27%             345.6MiB / 1.944GiB   17.36%              115MB / 154MB       0B / 0B             233
 105.27%             345.6MiB / 1.944GiB   17.36%              115MB / 154MB       0B / 0B             233
 103.20%             346.1MiB / 1.944GiB   17.39%              117MB / 156MB       0B / 0B             233
 103.20%             346.1MiB / 1.944GiB   17.39%              117MB / 156MB       0B / 0B             233
 106.69%             346.6MiB / 1.944GiB   17.41%              119MB / 159MB       0B / 0B             233
 106.69%             346.6MiB / 1.944GiB   17.41%              119MB / 159MB       0B / 0B             233
 102.56%             346.8MiB / 1.944GiB   17.42%              120MB / 161MB       0B / 0B             233
 102.56%             346.8MiB / 1.944GiB   17.42%              120MB / 161MB       0B / 0B             233
 104.18%             347MiB / 1.944GiB   17.44%              122MB / 163MB       0B / 0B             233
 104.18%             347MiB / 1.944GiB   17.44%              122MB / 163MB       0B / 0B             233
 103.46%             347.6MiB / 1.944GiB   17.47%              124MB / 166MB       0B / 0B             233
 103.46%             347.6MiB / 1.944GiB   17.47%              124MB / 166MB       0B / 0B             233
 102.28%             347.9MiB / 1.944GiB   17.48%              126MB / 168MB       0B / 0B             233
 102.28%             347.9MiB / 1.944GiB   17.48%              126MB / 168MB       0B / 0B             233
 102.11%             347.9MiB / 1.944GiB   17.48%              128MB / 171MB       0B / 0B             233
 102.11%             347.9MiB / 1.944GiB   17.48%              128MB / 171MB       0B / 0B             233
 105.22%             348.1MiB / 1.944GiB   17.49%              130MB / 173MB       0B / 0B             233
 105.22%             348.1MiB / 1.944GiB   17.49%              130MB / 173MB       0B / 0B             233
 102.55%             348.2MiB / 1.944GiB   17.50%              132MB / 176MB       0B / 0B             233
 102.55%             348.2MiB / 1.944GiB   17.50%              132MB / 176MB       0B / 0B             233
