CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
51.33%              79.03MiB / 1.944GiB   3.97%               261MB / 200MB       0B / 0B             23
48.20%              78.78MiB / 1.944GiB   3.96%               263MB / 201MB       0B / 0B             23
48.20%              78.78MiB / 1.944GiB   3.96%               263MB / 201MB       0B / 0B             23
50.77%              79.28MiB / 1.944GiB   3.98%               265MB / 203MB       0B / 0B             23
50.77%              79.28MiB / 1.944GiB   3.98%               265MB / 203MB       0B / 0B             23
55.39%              79.54MiB / 1.944GiB   4.00%               267MB / 205MB       0B / 0B             23
55.39%              79.54MiB / 1.944GiB   4.00%               267MB / 205MB       0B / 0B             23
41.74%              79.87MiB / 1.944GiB   4.01%               269MB / 206MB       0B / 0B             23
41.74%              79.87MiB / 1.944GiB   4.01%               269MB / 206MB       0B / 0B             23
50.77%              79.95MiB / 1.944GiB   4.02%               271MB / 207MB       0B / 0B             23
50.77%              79.95MiB / 1.944GiB   4.02%               271MB / 207MB       0B / 0B             23
47.89%              79.91MiB / 1.944GiB   4.01%               273MB / 209MB       0B / 0B             23
47.89%              79.91MiB / 1.944GiB   4.01%               273MB / 209MB       0B / 0B             23
49.62%              80.56MiB / 1.944GiB   4.05%               275MB / 211MB       0B / 0B             23
49.62%              80.56MiB / 1.944GiB   4.05%               275MB / 211MB       0B / 0B             23
45.77%              80.75MiB / 1.944GiB   4.06%               277MB / 212MB       0B / 0B             23
45.77%              80.75MiB / 1.944GiB   4.06%               277MB / 212MB       0B / 0B             23
55.37%              81.07MiB / 1.944GiB   4.07%               279MB / 214MB       0B / 0B             23
55.37%              81.07MiB / 1.944GiB   4.07%               279MB / 214MB       0B / 0B             23
51.31%              80.95MiB / 1.944GiB   4.07%               281MB / 215MB       0B / 0B             23
51.31%              80.95MiB / 1.944GiB   4.07%               281MB / 215MB       0B / 0B             23
39.10%              81.23MiB / 1.944GiB   4.08%               283MB / 217MB       0B / 0B             23
39.10%              81.23MiB / 1.944GiB   4.08%               283MB / 217MB       0B / 0B             23
47.52%              80.96MiB / 1.944GiB   4.07%               285MB / 218MB       0B / 0B             23
47.52%              80.96MiB / 1.944GiB   4.07%               285MB / 218MB       0B / 0B             23
51.01%              81.64MiB / 1.944GiB   4.10%               287MB / 220MB       0B / 0B             23
51.01%              81.64MiB / 1.944GiB   4.10%               287MB / 220MB       0B / 0B             23
46.65%              81.85MiB / 1.944GiB   4.11%               289MB / 221MB       0B / 0B             23
46.65%              81.85MiB / 1.944GiB   4.11%               289MB / 221MB       0B / 0B             23
50.55%              82.96MiB / 1.944GiB   4.17%               291MB / 223MB       0B / 0B             23
50.55%              82.96MiB / 1.944GiB   4.17%               291MB / 223MB       0B / 0B             23
47.50%              83.36MiB / 1.944GiB   4.19%               293MB / 225MB       0B / 0B             23
47.50%              83.36MiB / 1.944GiB   4.19%               293MB / 225MB       0B / 0B             23
46.02%              82.98MiB / 1.944GiB   4.17%               295MB / 226MB       0B / 0B             23
46.02%              82.98MiB / 1.944GiB   4.17%               295MB / 226MB       0B / 0B             23
50.41%              83.32MiB / 1.944GiB   4.19%               297MB / 228MB       0B / 0B             23
50.41%              83.32MiB / 1.944GiB   4.19%               297MB / 228MB       0B / 0B             23
49.21%              83.34MiB / 1.944GiB   4.19%               300MB / 229MB       0B / 0B             23
49.21%              83.34MiB / 1.944GiB   4.19%               300MB / 229MB       0B / 0B             23
47.32%              83.67MiB / 1.944GiB   4.20%               302MB / 231MB       0B / 0B             23
47.32%              83.67MiB / 1.944GiB   4.20%               302MB / 231MB       0B / 0B             23
49.06%              84.01MiB / 1.944GiB   4.22%               304MB / 233MB       0B / 0B             23
49.06%              84.01MiB / 1.944GiB   4.22%               304MB / 233MB       0B / 0B             23
48.74%              84.12MiB / 1.944GiB   4.23%               306MB / 234MB       0B / 0B             23
48.74%              84.12MiB / 1.944GiB   4.23%               306MB / 234MB       0B / 0B             23
49.70%              84.03MiB / 1.944GiB   4.22%               308MB / 236MB       0B / 0B             23
