CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
78.42%              308.2MiB / 1.944GiB   15.48%              95.3MB / 74.1MB     0B / 0B             230
78.42%              308.2MiB / 1.944GiB   15.48%              95.3MB / 74.1MB     0B / 0B             230
56.44%              308.4MiB / 1.944GiB   15.49%              97.5MB / 75.8MB     0B / 0B             230
56.44%              308.4MiB / 1.944GiB   15.49%              97.5MB / 75.8MB     0B / 0B             230
49.11%              308.7MiB / 1.944GiB   15.51%              99.5MB / 77.4MB     0B / 0B             230
49.11%              308.7MiB / 1.944GiB   15.51%              99.5MB / 77.4MB     0B / 0B             230
53.69%              308.8MiB / 1.944GiB   15.51%              102MB / 79.1MB      0B / 0B             230
53.69%              308.8MiB / 1.944GiB   15.51%              102MB / 79.1MB      0B / 0B             230
61.07%              309.4MiB / 1.944GiB   15.54%              104MB / 80.7MB      0B / 0B             230
61.07%              309.4MiB / 1.944GiB   15.54%              104MB / 80.7MB      0B / 0B             230
54.12%              309.7MiB / 1.944GiB   15.56%              106MB / 82.3MB      0B / 0B             230
54.12%              309.7MiB / 1.944GiB   15.56%              106MB / 82.3MB      0B / 0B             230
50.68%              309.9MiB / 1.944GiB   15.57%              108MB / 84MB        0B / 0B             230
50.68%              309.9MiB / 1.944GiB   15.57%              108MB / 84MB        0B / 0B             230
76.27%              310.7MiB / 1.944GiB   15.61%              110MB / 85.6MB      0B / 0B             230
76.27%              310.7MiB / 1.944GiB   15.61%              110MB / 85.6MB      0B / 0B             230
101.09%             316.1MiB / 1.944GiB   15.88%              112MB / 87.2MB      0B / 0B             230
101.09%             316.1MiB / 1.944GiB   15.88%              112MB / 87.2MB      0B / 0B             230
94.27%              318.9MiB / 1.944GiB   16.02%              114MB / 88.9MB      0B / 0B             230
94.27%              318.9MiB / 1.944GiB   16.02%              114MB / 88.9MB      0B / 0B             230
48.70%              311.7MiB / 1.944GiB   15.66%              116MB / 90.5MB      0B / 0B             230
48.70%              311.7MiB / 1.944GiB   15.66%              116MB / 90.5MB      0B / 0B             230
74.20%              312.2MiB / 1.944GiB   15.69%              118MB / 92.1MB      0B / 0B             230
74.20%              312.2MiB / 1.944GiB   15.69%              118MB / 92.1MB      0B / 0B             230
101.98%             312.7MiB / 1.944GiB   15.71%              120MB / 93.8MB      0B / 0B             230
101.98%             312.7MiB / 1.944GiB   15.71%              120MB / 93.8MB      0B / 0B             230
72.05%              313MiB / 1.944GiB   15.72%              122MB / 95.5MB      0B / 0B             230
72.05%              313MiB / 1.944GiB   15.72%              122MB / 95.5MB      0B / 0B             230
48.72%              312.9MiB / 1.944GiB   15.72%              125MB / 97.2MB      0B / 0B             230
48.72%              312.9MiB / 1.944GiB   15.72%              125MB / 97.2MB      0B / 0B             230
69.96%              314.4MiB / 1.944GiB   15.80%              127MB / 98.8MB      0B / 0B             230
69.96%              314.4MiB / 1.944GiB   15.80%              127MB / 98.8MB      0B / 0B             230
103.76%             315.3MiB / 1.944GiB   15.84%              129MB / 100MB       0B / 0B             230
103.76%             315.3MiB / 1.944GiB   15.84%              129MB / 100MB       0B / 0B             230
91.24%              315.5MiB / 1.944GiB   15.85%              131MB / 102MB       0B / 0B             230
91.24%              315.5MiB / 1.944GiB   15.85%              131MB / 102MB       0B / 0B             230
45.32%              315.7MiB / 1.944GiB   15.86%              133MB / 104MB       0B / 0B             230
45.32%              315.7MiB / 1.944GiB   15.86%              133MB / 104MB       0B / 0B             230
70.36%              316.2MiB / 1.944GiB   15.89%              135MB / 105MB       0B / 0B             230
70.36%              316.2MiB / 1.944GiB   15.89%              135MB / 105MB       0B / 0B             230
92.67%              317MiB / 1.944GiB   15.92%              137MB / 107MB       0B / 0B             230
92.67%              317MiB / 1.944GiB   15.92%              137MB / 107MB       0B / 0B             230
48.29%              317MiB / 1.944GiB   15.93%              139MB / 109MB       0B / 0B             230
48.29%              317MiB / 1.944GiB   15.93%              139MB / 109MB       0B / 0B             230
39.70%              317.4MiB / 1.944GiB   15.95%              141MB / 110MB       0B / 0B             230
39.70%              317.4MiB / 1.944GiB   15.95%              141MB / 110MB       0B / 0B             230
66.58%              318.2MiB / 1.944GiB   15.99%              143MB / 112MB       0B / 0B             230
66.58%              318.2MiB / 1.944GiB   15.99%              143MB / 112MB       0B / 0B             230
48.83%              318.4MiB / 1.944GiB   16.00%              146MB / 114MB       0B / 0B             230
48.83%              318.4MiB / 1.944GiB   16.00%              146MB / 114MB       0B / 0B             230
40.97%              319MiB / 1.944GiB   16.03%              148MB / 115MB       0B / 0B             230
40.97%              319MiB / 1.944GiB   16.03%              148MB / 115MB       0B / 0B             230
39.90%              319.5MiB / 1.944GiB   16.05%              150MB / 117MB       0B / 0B             230
39.90%              319.5MiB / 1.944GiB   16.05%              150MB / 117MB       0B / 0B             230
40.27%              319.9MiB / 1.944GiB   16.07%              152MB / 119MB       0B / 0B             230
40.27%              319.9MiB / 1.944GiB   16.07%              152MB / 119MB       0B / 0B             230
39.87%              320MiB / 1.944GiB   16.08%              154MB / 120MB       0B / 0B             230
39.87%              320MiB / 1.944GiB   16.08%              154MB / 120MB       0B / 0B             230
39.29%              320.4MiB / 1.944GiB   16.10%              156MB / 122MB       0B / 0B             230
39.29%              320.4MiB / 1.944GiB   16.10%              156MB / 122MB       0B / 0B             230
41.06%              320.5MiB / 1.944GiB   16.10%              158MB / 124MB       0B / 0B             230
